lane	tile	row	col
1	1101	2	1
1	1102	2	2
1	1103	2	3
1	1104	2	4
1	1105	2	5
1	1106	2	6
1	1107	2	7
1	1108	2	8
1	1109	2	9
1	1110	2	10
1	1111	2	11
1	1112	2	12
1	1113	2	13
1	1114	2	14
1	1115	2	15
1	1116	2	16
1	1201	1	1
1	1202	1	2
1	1203	1	3
1	1204	1	4
1	1205	1	5
1	1206	1	6
1	1207	1	7
1	1208	1	8
1	1209	1	9
1	1210	1	10
1	1211	1	11
1	1212	1	12
1	1213	1	13
1	1214	1	14
1	1215	1	15
1	1216	1	16
2	1101	4	1
2	1102	4	2
2	1103	4	3
2	1104	4	4
2	1105	4	5
2	1106	4	6
2	1107	4	7
2	1108	4	8
2	1109	4	9
2	1110	4	10
2	1111	4	11
2	1112	4	12
2	1113	4	13
2	1114	4	14
2	1115	4	15
2	1116	4	16
2	1201	3	1
2	1202	3	2
2	1203	3	3
2	1204	3	4
2	1205	3	5
2	1206	3	6
2	1207	3	7
2	1208	3	8
2	1209	3	9
2	1210	3	10
2	1211	3	11
2	1212	3	12
2	1213	3	13
2	1214	3	14
2	1215	3	15
2	1216	3	16
