lane	tile	row	col
1	2101	2	1
1	2102	2	2
1	2103	2	3
1	2104	2	4
1	2105	2	5
1	2106	2	6
1	2107	2	7
1	2108	2	8
1	2109	2	9
1	2110	2	10
1	2111	2	11
1	2112	2	12
1	2113	2	13
1	2114	2	14
1	2115	2	15
1	2116	2	16
1	2201	1	1
1	2202	1	2
1	2203	1	3
1	2204	1	4
1	2205	1	5
1	2206	1	6
1	2207	1	7
1	2208	1	8
1	2209	1	9
1	2210	1	10
1	2211	1	11
1	2212	1	12
1	2213	1	13
1	2214	1	14
1	2215	1	15
1	2216	1	16
2	2101	4	1
2	2102	4	2
2	2103	4	3
2	2104	4	4
2	2105	4	5
2	2106	4	6
2	2107	4	7
2	2108	4	8
2	2109	4	9
2	2110	4	10
2	2111	4	11
2	2112	4	12
2	2113	4	13
2	2114	4	14
2	2115	4	15
2	2116	4	16
2	2201	3	1
2	2202	3	2
2	2203	3	3
2	2204	3	4
2	2205	3	5
2	2206	3	6
2	2207	3	7
2	2208	3	8
2	2209	3	9
2	2210	3	10
2	2211	3	11
2	2212	3	12
2	2213	3	13
2	2214	3	14
2	2215	3	15
2	2216	3	16
