"","x"
"1","Gm26206"
"2","Xkr4"
"3","Gm1992"
"4","Gm22848"
"5","Rp1"
"6","Sox17"
"7","Gm22307"
"8","Gm25493"
"9","Mrpl15"
"10","Lypla1"
"11","Tcea1"
"12","Gm6104"
"13","Rgs20"
"14","Gm16041"
"15","Atp6v1h"
"16","Oprk1"
"17","Gm22463"
"18","Npbwr1"
"19","Rb1cc1"
"20","4732440D04Rik"
"21","4732440D04Rik"
"22","Fam150a"
"23","St18"
"24","Pcmtd1"
"25","Gm23274"
"26","Gm26901"
"27","Sntg1"
"28","Gm23358"
"29","Gm24276"
"30","Gm24765"
"31","Rrs1"
"32","Adhfe1"
"33","2610203C22Rik"
"34","3110035E14Rik"
"35","Mybl1"
"36","Vcpip1"
"37","1700034P13Rik"
"38","Sgk3"
"39","Gm22607"
"40","Mcmdc2"
"41","Snhg6"
"42","Snord87"
"43","Tcf24"
"44","Gm10567"
"45","Ppp1r42"
"46","Gm15818"
"47","Gm24674"
"48","Cops5"
"49","Cspp1"
"50","Arfgef1"
"51","Gm26348"
"52","Cpa6"
"53","Gm25253"
"54","Gm22963"
"55","Prex2"
"56","Gm24173"
"57","A830018L16Rik"
"58","A830018L16Rik"
"59","Gm22633"
"60","mmu-mir-6341"
"61","Gm17644"
"62","Sulf1"
"63","Slco5a1"
"64","Gm5250"
"65","Prdm14"
"66","Ncoa2"
"67","AC121538.1"
"68","Gm23169"
"69","Tram1"
"70","Lactb2"
"71","Xkr9"
"72","Gm26273"
"73","Gm25491"
"74","Eya1"
"75","Gm22616"
"76","Msc"
"77","Gm9947"
"78","Trpa1"
"79","Gm26345"
"80","Kcnb2"
"81","Gm25227"
"82","Kcnb2"
"83","Gm25168"
"84","Terf1"
"85","Sbspon"
"86","Gm23259"
"87","4930444P10Rik"
"88","Rpl7"
"89","Rdh10"
"90","Stau2"
"91","Gm7568"
"92","Ube2w"
"93","Tceb1"
"94","D030040B21Rik"
"95","Tmem70"
"96","Ly96"
"97","Gm5828"
"98","Jph1"
"99","Gdap1"
"100","Gm25166"
"101","Pi15"
"102","Gm16070"
"103","Crispld1"
"104","Crisp4"
"105","Defb18"
"106","Defb41"
"107","Gm15386"
"108","Gm24075"
"109","Gm15825"
"110","Tfap2d"
"111","Tfap2b"
"112","Gm24633"
"113","Gm25568"
"114","Pkhd1"
"115","4930486I03Rik"
"116","Gm24162"
"117","Mir206"
"118","Mir133b"
"119","Il17a"
"120","Il17f"
"121","Mcm3"
"122","Gm24723"
"123","6720483E21Rik"
"124","Paqr8"
"125","Gm24171"
"126","Efhc1"
"127","Tram2"
"128","Tmem14a"
"129","Gsta3"
"130","Gm7094"
"131","Khdc1a"
"132","Khdc1c"
"133","Khdc1b"
"134","Kcnq5"
"135","Gm26580"
"136","Rims1"
"137","4933415F23Rik"
"138","Gm24176"
"139","Gm6420"
"140","Mir30a"
"141","Gm27028"
"142","Mir30c-2"
"143","Ogfrl1"
"144","B3gat2"
"145","Smap1"
"146","1110058L19Rik"
"147","Gm26524"
"148","Fam135a"
"149","Col9a1"
"150","Col19a1"
"151","Gm26418"
"152","Gm10222"
"153","Lmbrd1"
"154","Bai3"
"155","Gm22260"
"156","Gm25294"
"157","Gm9884"
"158","Gm24064"
"159","4931408C20Rik"
"160","n-R5s209"
"161","Gm597"
"162","Gm25586"
"163","Gm22679"
"164","Gm23785"
"165","mmu-mir-6342"
"166","Gm23771"
"167","AC132241.1"
"168","Gm9898"
"169","Phf3"
"170","Ptp4a1"
"171","Gm5698"
"172","Gm5699"
"173","5S_rRNA"
"174","4931428L18Rik"
"175","Lgsn"
"176","Pih1d3"
"177","Gm26145"
"178","Gm6489"
"179","Gm23032"
"180","Khdrbs2"
"181","Gm25814"
"182","Gm5415"
"183","Gm24732"
"184","Gm23024"
"185","Gm24901"
"186","Gm25792"
"187","Gm23453"
"188","Prim2"
"189","1700001G17Rik"
"190","Rab23"
"191","Bag2"
"192","Zfp451"
"193","Bend6"
"194","Dst"
"195","Gm23792"
"196","Gm26788"
"197","D630036G22Rik"
"198","Mir5103"
"199","Ccdc115"
"200","Imp4"
"201","Ptpn18"
"202","Prss39"
"203","Cfc1"
"204","Prss40"
"205","1700101I19Rik"
"206","Amer3"
"207","Arhgef4"
"208","Fam168b"
"209","Plekhb2"
"210","Gm25096"
"211","Gm25634"
"212","Hs6st1"
"213","Uggt1"
"214","mmu-mir-6897"
"215","Neurl3"
"216","Arid5a"
"217","Kansl3"
"218","mmu-mir-6898"
"219","Lman2l"
"220","Cnnm4"
"221","Cnnm3"
"222","Ankrd23"
"223","Ankrd39"
"224","Sema4c"
"225","D430040D24Rik"
"226","Fam178b"
"227","Gm24133"
"228","Cox5b"
"229","Actr1b"
"230","Zap70"
"231","Tmem131"
"232","n-R5s210"
"233","Vwa3b"
"234","Vwa3b"
"235","Cnga3"
"236","Inpp4a"
"237","4930439A04Rik"
"238","Coa5"
"239","Unc50"
"240","Mgat4a"
"241","2010300C02Rik"
"242","4930556I23Rik"
"243","Tsga10"
"244","Gm26805"
"245","Lipt1"
"246","Mitd1"
"247","Mrpl30"
"248","Lyg2"
"249","Gm15457"
"250","Lyg1"
"251","Gm23409"
"252","Txndc9"
"253","Eif5b"
"254","Rev1"
"255","Aff3"
"256","Gm16150"
"257","Gm16151"
"258","Gm16152"
"259","Lonrf2"
"260","Chst10"
"261","Nms"
"262","Pdcl3"
"263","mmu-mir-6349"
"264","Npas2"
"265","Rpl31"
"266","Tbc1d8"
"267","Gm24826"
"268","Cnot11"
"269","Gm15832"
"270","Snord89"
"271","Rnf149"
"272","Gm23722"
"273","Creg2"
"274","D930019O06Rik"
"275","Rfx8"
"276","Gm3646"
"277","Map4k4"
"278","Gm16894"
"279","Il1r2"
"280","Il1r1"
"281","Il1rl2"
"282","Il1rl1"
"283","Il18r1"
"284","Il18rap"
"285","Slc9a4"
"286","Slc9a2"
"287","Mfsd9"
"288","Tmem182"
"289","Gm9915"
"290","2610017I09Rik"
"291","Gm20646"
"292","Pou3f3"
"293","2610207O16Rik"
"294","Mrps9"
"295","Gm23126"
"296","Gpr45"
"297","Gpr45"
"298","Gm24001"
"299","Tgfbrap1"
"300","8430432A02Rik"
"301","AI597479"
"302","Fhl2"
"303","Nck2"
"304","1500015O10Rik"
"305","Uxs1"
"306","Gm26352"
"307","Gm24180"
"308","Tpp2"
