"","x"
"1","Collapse_2106_1"
"2","Collapse_2106_2"
"3","Collapse_2106_3"
"4","Collapse_2106_4"
"5","Collapse_2106_5"
"6","Collapse_2106_6"
"7","Collapse_2106_7"
"8","Collapse_2106_8"
"9","Collapse_2106_9"
"10","Collapse_2106_10"
"11","Collapse_2106_11"
"12","Collapse_2106_12"
"13","Collapse_2106_13"
"14","Collapse_2106_14"
"15","Collapse_2106_15"
"16","Collapse_2106_16"
"17","Collapse_2106_17"
"18","Collapse_2106_18"
"19","Collapse_2106_19"
"20","Collapse_2106_20"
"21","Collapse_2106_21"
"22","Collapse_2106_22"
"23","Collapse_2106_23"
"24","Collapse_2106_24"
"25","Collapse_2106_25"
"26","Collapse_2106_26"
"27","Collapse_2106_27"
"28","Collapse_2106_28"
"29","Collapse_2106_29"
"30","Collapse_2106_30"
"31","Collapse_2106_31"
"32","Collapse_2106_32"
"33","Collapse_2106_33"
"34","Collapse_2106_34"
"35","Collapse_2106_35"
"36","Collapse_2106_36"
"37","Collapse_2106_37"
"38","Collapse_2106_38"
"39","Collapse_2106_39"
"40","Collapse_2106_40"
"41","Collapse_2106_41"
"42","Collapse_2106_42"
"43","Collapse_2106_43"
"44","Collapse_2106_44"
"45","Collapse_2106_45"
"46","Collapse_2106_46"
"47","Collapse_2106_47"
"48","Collapse_2106_48"
"49","Collapse_2106_49"
"50","Collapse_2106_50"
"51","Collapse_2106_51"
"52","Collapse_2106_52"
"53","Collapse_2106_53"
"54","Collapse_2106_54"
"55","Collapse_2106_55"
"56","Collapse_2106_56"
"57","Collapse_2106_57"
"58","Collapse_2106_58"
"59","Collapse_2106_59"
"60","Collapse_2106_60"
"61","Collapse_2106_61"
"62","Collapse_2106_62"
"63","Collapse_2106_63"
"64","Collapse_2106_64"
"65","Collapse_2106_65"
"66","Collapse_2106_66"
"67","Collapse_2106_67"
"68","Collapse_2106_68"
"69","Collapse_2106_69"
"70","Collapse_2106_70"
"71","Collapse_2106_71"
"72","Collapse_2106_72"
"73","Collapse_2106_73"
"74","Collapse_2106_74"
"75","Collapse_2106_75"
"76","Collapse_2106_76"
"77","Collapse_2106_77"
"78","Collapse_2106_78"
"79","Collapse_2106_79"
"80","Collapse_2106_80"
"81","Collapse_2106_81"
"82","Collapse_2106_82"
"83","Collapse_2106_83"
"84","Collapse_2106_84"
"85","Collapse_2106_85"
"86","Collapse_2106_86"
"87","Collapse_2106_87"
"88","Collapse_2106_88"
"89","Collapse_2106_89"
"90","Collapse_2106_90"
"91","Collapse_2106_91"
"92","Collapse_2106_92"
"93","Collapse_2106_93"
"94","Collapse_2106_94"
"95","Collapse_2106_95"
"96","Collapse_2106_96"
"97","Collapse_2106_97"
"98","Collapse_2106_98"
"99","Collapse_2106_99"
"100","Collapse_2106_100"
"101","Collapse_2106_101"
"102","Collapse_2106_102"
"103","Collapse_2106_103"
"104","Collapse_2106_104"
"105","Collapse_2106_105"
"106","Collapse_2106_106"
"107","Collapse_2106_107"
"108","Collapse_2106_108"
"109","Collapse_2106_109"
"110","Collapse_2106_110"
"111","Collapse_2106_111"
"112","Collapse_2106_112"
"113","Collapse_2106_113"
"114","Collapse_2106_114"
"115","Collapse_2106_115"
"116","Collapse_2106_116"
"117","Collapse_2106_117"
"118","Collapse_2106_118"
"119","Collapse_2106_119"
"120","Collapse_2106_120"
"121","Collapse_2106_121"
"122","Collapse_2106_122"
"123","Collapse_2106_123"
"124","Collapse_2106_124"
"125","Collapse_2106_125"
