lane	tile	row	col
1	1101	1	1
1	1102	1	2
1	1103	1	3
1	1104	1	4
1	1105	1	5
1	1106	1	6
1	1107	1	7
1	1108	1	8
1	1109	1	9
1	1110	1	10
1	1111	1	11
1	1112	1	12
1	1113	1	13
1	1114	1	14
1	1115	1	15
1	1116	1	16
1	1117	1	17
1	1118	1	18
1	1119	1	19
1	1201	1	20
1	1202	1	21
1	1203	1	22
1	1204	1	23
1	1205	1	24
1	1206	1	25
1	1207	1	26
1	1208	1	27
1	1209	1	28
1	1210	1	29
1	1211	1	30
1	1212	1	31
1	1213	1	32
1	1214	1	33
1	1215	1	34
1	1216	1	35
1	1217	1	36
1	1218	1	37
1	1219	1	38
1	2101	1	39
1	2102	1	40
1	2103	1	41
1	2104	1	42
1	2105	1	43
1	2106	1	44
1	2107	1	45
1	2108	1	46
1	2109	1	47
1	2110	1	48
1	2111	1	49
1	2112	1	50
1	2113	1	51
1	2114	1	52
1	2115	1	53
1	2116	1	54
1	2117	1	55
1	2118	1	56
1	2119	1	57
1	2201	1	58
1	2202	1	59
1	2203	1	60
1	2204	1	61
1	2205	1	62
1	2206	1	63
1	2207	1	64
1	2208	1	65
1	2209	1	66
1	2210	1	67
1	2211	1	68
1	2212	1	69
1	2213	1	70
1	2214	1	71
1	2215	1	72
1	2216	1	73
1	2217	1	74
1	2218	1	75
1	2219	1	76
